num_filters,num_fc_nodes,dropout_rate,accuracy,training_time,loss
10,64,0.3,0.8966,101.14328598976135,0.36598730014839653
20,64,0.3,0.9049,145.99143767356873,0.3271927000124698
10,64,0.5,0.8905,101.95913052558899,0.40550779583834135
20,64,0.5,0.9056,147.66449785232544,0.34783836610313423
10,128,0.3,0.9005,104.6896619796753,0.34714617684070487
20,128,0.3,0.9063,151.72379088401794,0.3096908401793191
10,128,0.5,0.896,103.22398924827576,0.3938414334234144
20,128,0.5,0.9082,150.40893173217773,0.34359312841632983
